iter	Passed	Remaining
0	1	121
1	2	114
2	3	105
3	4	99
4	5	97
5	6	95
6	7	93
7	8	95
8	9	93
9	9	89
10	10	88
11	11	87
12	12	86
13	14	86
14	14	83
15	15	82
16	16	80
17	17	80
18	18	79
19	19	77
20	20	75
21	20	74
22	21	72
23	22	71
24	23	71
25	24	69
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	52
40	35	51
41	36	50
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
